File	Result	Frames	DurrationInSeconds	MaxPullForce	MaxPushForce	FailReason	MinLimit1	MaxLimit1	MinLimit2	MaxLimit2	MinLimit3	MaxLimit3	MinLimit4	MaxLimit4	MinLimit5	MaxLimit5	MinLimit6	MaxLimit6	MinLimit7	MaxLimit7	MinLimit8	MaxLimit8	MinLimit9	MaxLimit9	
Level1.txt	LevelPassed	243	0,16	-0,016783204   	0,050658144    		-0,016961189   	0,051139608    	-0,015726052   	0,050176367    	-0,014659999   	0,046112277    	-0,013371453   	0,041285634    	-0,010693474   	0,03908758     	-0,010693474   	0,03908758     	-0,010201033   	0,038366485    	-0,008971366   	0,037863605    	-0,008452959   	0,03577088     	
Level2.txt	LevelPassed	295	0,33	-0,008071393   	0,04325785     		-0,008152212   	0,043653924    	-0,006289918   	0,03836713     	-0,006102211   	0,034295216    	-0,0057501663  	0,03286036     	-0,0036245957  	0,03168284     	-0,0035488931  	0,030308481    	-0,0031676944  	0,0299396      	-0,0028741802  	0,0299396      	-0,0019937288  	0,0299396      	
Level3.txt	LevelPassed	471	1,15	-0,012368366   	0,06755073     		-0,01248783    	0,06818571     	-0,012242833   	0,06259665     	-0,011397554   	0,056228496    	-0,010893253   	0,05588744     	-0,010893253   	0,0540606      	-0,010893253   	0,05348581     	-0,010893253   	0,0531419      	-0,010522267   	0,0531419      	-0,009852959   	0,0531419      	
Level4.txt	LevelPassed	409	0,85	-0,009333552   	0,078143574    		-0,009425235   	0,078867294    	-0,005945937   	0,07802226     	-0,0045428043  	0,07497473     	-0,0033788513  	0,074642       	-0,0026516682  	0,07304335     	-0,0026516682  	0,07304335     	-0,0021268679  	0,07304335     	-0,0020973966  	0,07246555     	-0,0020146358  	0,07225236     	
Level5.txt	LevelPassed	306	0,36	-0,009950749   	0,07877358     		-0,010048007   	0,07952793     	-0,009815093   	0,07814805     	-0,009422313   	0,077553965    	-0,008824524   	0,077172644    	-0,008787651   	0,076811075    	-0,008787651   	0,07644531     	-0,008743144   	0,07612747     	-0,008743144   	0,075628415    	-0,008743144   	0,075628415    	
Level6.txt	LevelPassed	405	0,98	-0,012342843   	0,13970295     		-0,012458405   	0,14105837     	-0,006904829   	0,13542786     	-0,0062880106  	0,13326387     	-0,005979118   	0,13158852     	-0,0058954726  	0,12626213     	-0,0050440636  	0,124980435    	-0,0046452763  	0,12400473     	-0,0046452763  	0,12400473     	-0,0046452763  	0,12400473     	
Level7.txt	LevelPassed	638	5,09	-0,01022347    	0,07810176     		-0,010317316   	0,07882911     	-0,008443244   	0,07806644     	-0,006822366   	0,07795645     	-0,0067067323  	0,07769975     	-0,006701276   	0,07765636     	-0,006622523   	0,077531725    	-0,006446069   	0,077414125    	-0,006432289   	0,077414125    	-0,0062310803  	0,077414125    	
Level8.txt	LevelPassed	867	10,29	-0,016770968   	0,10650207     		-0,016928695   	0,107511       	-0,006535532   	0,10234822     	-0,005237378   	0,09780291     	-0,005168038   	0,09733103     	-0,005168038   	0,09583128     	-0,0050645517  	0,09552745     	-0,004941116   	0,095474795    	-0,0049280617  	0,09478837     	-0,004799539   	0,09465652     	
Level9.txt	LevelPassed	410	1,55	-0,006765323   	0,13624273     		-0,0068277656  	0,13755026     	-0,0061831838  	0,13597453     	-0,005942015   	0,13545895     	-0,005362251   	0,13314542     	-0,00523669    	0,13088349     	-0,005195577   	0,13088349     	-0,005054714   	0,13088349     	-0,0049150856  	0,13038646     	-0,0049150856  	0,12743285     	
Level10.txt	LevelPassed	352	0,57	-0,02130179    	0,07547185     		-0,02151155    	0,0762152      	-0,012757192   	0,075301036    	-0,009640129   	0,07485858     	-0,008958418   	0,07455303     	-0,00703372    	0,07372731     	-0,0057700993  	0,072441295    	-0,0057380274  	0,071850695    	-0,0057380274  	0,07173304     	-0,0057380274  	0,07154374     	
